,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,Circularity,MaxFeretDiameter,MaxFeretAngle,MinFeretDiameter,MinFeretAngle,Area,ConvexArea,EquivDiameter,Solidity,Extent,Perimeter,Sex
1,1051.070173,799.7111972,0.64892282,1.647551843,0.901753898,1057.874284,177.670425,807,-90,659955,661555,916.668317,0.99758146,0.77368789,3029.479,1
2,1030.602881,753.5136324,0.682228867,-0.553947383,0.937722743,1035.022705,-177.4527377,758,-90,609442,610748,880.889127,0.99786164,0.77757562,2854.672,1
3,1032.624386,766.1840423,0.670424802,2.431445868,0.613489069,1040.454708,176.9698466,776,-90,620869,624088,889.109084,0.99484207,0.77005671,3563.024,1
4,998.439069,782.887509,0.62062004,-0.0808608,0.93712915,1002.6465,-177.94235,790.441972,97.2531946,613510,614958,883.824187,0.99764537,0.77406502,2865.102,0
5,1031.313471,752.503672,0.68381479,0.04756807,0.70555624,1038.01975,-177.4601,759,-90,608984,611698,880.558068,0.99556317,0.77372272,3290.24,0
6,960.3012416,769.4126751,0.598369719,-0.046262154,0.830984266,964.4065533,-178.336275,777,-90,580085,581701,859.410939,0.99722194,0.77445035,2958.649,1
7,972.5272659,731.3743143,0.659123442,2.6119207,0.797592462,975.5372879,175.1192989,737,-90,558256,560607,843.08577,0.99580633,0.77769079,2962.585,1
8,942.402343,759.5861408,0.591901299,1.330037709,0.931664126,945.25605,178.6663709,762,-90,562122,563608,845.999976,0.99736342,0.78062742,2750.393,1
9,1017.4633,763.874374,0.66057102,4.06016734,0.72123666,1016.55989,175.203594,767.58937,-94.763642,609886,612431,881.209948,0.99584443,0.78136919,3256.654,0
10,957.146461,747.945071,0.62399015,1.13301486,0.69366078,962.299849,177.021636,754,-90,562074,565344,845.963855,0.99421591,0.77570888,3187.868,0
11,994.9189718,745.9137032,0.661751708,-0.253915857,0.664831006,997.4818294,178.2190601,752.735197,91.24536427,582605,585506,861.275638,0.99504531,0.77603994,3315.317,1
13,952.8416323,737.6947155,0.632934976,1.079842461,0.621127768,959.2757685,178.6261206,746,-90,551684,554791,838.108516,0.99439969,0.77113951,3337.729,1
14,968.734635,762.85176,0.61634995,3.17601606,0.68636357,975.070254,174.763012,770.585671,88.2642954,580137,583281,859.449457,0.9946098,0.77412291,3255.924,0
15,933.094067,714.907826,0.64263904,-0.6761357,0.7362011,934.813885,-177.60895,718,-90,523739,525758,816.605906,0.99615983,0.78098662,2986.81,0
17,980.7351263,755.0102446,0.638235555,0.080279904,0.765950139,989.4746081,176.871562,762,-90,581234,583125,860.261654,0.99675713,0.77203874,3084.879,1
18,1001.61306,774.142499,0.634533,-1.0718655,0.95210557,1006.10188,-176.29578,779,-90,608483,609795,880.195784,0.99784846,0.77722172,2830.772,0
19,1005.44389,724.020005,0.69387045,-0.7099767,0.58139278,1010.91493,-177.56215,730.909982,-85.486012,571218,575009,852.817299,0.99340706,0.77157214,3510.61,0
20,942.1775219,699.2853699,0.670177028,1.219250216,0.818201069,942.2807437,178.6013364,700,-90,517245,519245,811.527442,0.99614825,0.78441765,2815.391,1
21,986.984435,738.066082,0.66392507,0.94055106,0.59568942,989.695913,175.77002,743,-90,571676,575686,853.159123,0.9930344,0.77876101,3469.58,0
22,1044.029512,774.2158207,0.670880946,2.022939128,0.637024118,1045.447751,176.984332,779.4222999,87.56335175,634618,637784,898.899735,0.99503594,0.77832477,3535.065,1
23,968.224885,764.701984,0.61336716,1.88764189,0.69087138,971.287805,177.049221,770,-90,581372,584052,860.363772,0.99541137,0.77837997,3248.73,0
24,930.221655,731.861986,0.61725793,-3.3702222,0.67039895,935.261461,-176.01477,741.275034,-80.537678,533960,536557,824.535619,0.99515988,0.77047392,3160.539,0
25,976.287055,747.223795,0.6435869,-1.3908749,0.72218898,980.318826,-178.53869,751,-90,572735,574925,853.948974,0.99619081,0.7781937,3153.726,0
26,950.608213,768.297423,0.5888852,0.6340036,0.67932859,953.441136,-178.25701,776,-90,573187,575935,854.285874,0.99522863,0.7750714,3253.074,0
27,948.220179,761.936261,0.59524589,0.44513327,0.66109156,956.301208,178.561914,770.990035,91.974934,567075,570198,849.718962,0.99452296,0.76836099,3280.036,0
29,945.039271,744.8615917,0.615444058,0.330818584,0.594428078,948.6095087,177.9459685,749.679486,88.60281897,552631,555890,838.827541,0.99413733,0.77725879,3414.865,1
31,1049.178001,783.7753011,0.66478191,-0.223966782,0.657448897,1048.775476,-176.6656198,790,-90,645151,648098,906.328729,0.99545285,0.77924316,3508.455,1
32,995.505711,766.104977,0.63857015,-0.6330891,0.65928571,999.882493,177.592586,772.080082,-87.614056,598533,601254,872.969578,0.99547446,0.77507391,3374.489,0
33,1006.65312,744.734495,0.67281317,-0.118102,0.8348446,1009.44589,178.29696,749,-90,588445,589982,865.581564,0.99739484,0.77863316,2973.01,0
34,988.0529082,757.6076732,0.641923933,2.648644581,0.812410907,989.881306,176.4669922,759.5681244,88.40885973,587454,589262,864.852394,0.99693176,0.78156298,3011.28,1
35,973.4975175,765.2102009,0.618172748,3.358474135,0.90423417,981.8034427,174.3300545,774.7209522,-97.12501635,584319,585854,862.541627,0.99737989,0.76856269,2846.495,1
